,text
0,tolol gak hubung nya gugur dgn pake hijab syar i bilang bayi nya panas dalem gak hubung nya woy otak jempol gak singkron sih ya nulis komentar
1,geblek tata cowo banget balik hadeww ntar tinggal nyalahin tuh cowo kitenya oon
2,kmrn skr lengket duh labil banget sih mbak kya abege ajah ato kmrn cari sensasi biar top markotop ertong gk kualitas
3,inti kesel att nya gausah anak kasi kembang psikis anak depan orang tolol anda anak anak dikatain orang benci gimana asa benci tau batesnya nama manusia gaakan suka haters
4,hadew permpuan sakit jiwa knp peran utama film hantu jeruk purut ky khabis stok artis ja
5,pantesan tinggalin laki ya laki mikir kali perempuan kayagni ngurus aja gak becus gimana ngurus anak mending anak bapake nya aja didik
6,biasa balajaer nyampah ig artis ig bikin caption balajaer heboh asik ceramahin ig tar bikinin lagu teh melly loh balajaer judul balajaer sabda seonggak koin laknat nya balajaer ngamuk iya banget koin laknat nya goda rt nya gigi duh elah balajaer smua tau kale laku biduan kek minus bela pd sakit jiwa
7,rakyat indonesia bodoh tdk beda buruk sdh tau prilaku buruk tdk tau sopan santun pilih panutan idola murah pd kelas ber etika
8,ayu janda bodoh pny suami kpn nikah lagi
9,anyieng suara ancur banget merdu tukang goreng
10,syarat sah nikah agama islam cpp cpw saksi wali nikah mas kawin mahar perkara makeup gak manglingi syarat sah nikah gak makeup syarat penuh nikah sah yak emak emak julids
11,cewek gatau nih ngerebut pacar orang udh abang ngedukung sifat jelek ckck
12,eh situ kids zaman now ya banyak micin mna ngina bodoh pelihara
13,jijik liat suer deh mince
14,emang tabu cium gitu iya emang bikin eneg citra nya sok alim sok sok bijak sok sok lai anda citra sok alim sok suci serius
15,cium dpn orang bnyk sih malu kecuali mgkn mabok gak malu teman helow teman tdk libat cium bibir coba aja bayangin sanggup gak cium bibir ma teman lbh teman dasar laku kids zaman now emg bodoh banyak micin lho yah
16,anjing nya ngamuk hidup pny musuh udh kliatan mna orang ga pny byk musuh
17,ah jaga ucap lahh ucap ngk jaga dasar munafik dasar betina zaman now ellu kali yangg lebih micin loe otak loe selangkang paham moga tuhan ampunin munafik loe cun
18,yaa ampun upil naruto cermin kalo pecun alam banget lu yaa kesi gua prihatin mati aja deh lu ngotorin dunia manusia kau
19,cuman jual goyang yak suara taik
20,kasi ih nyari uang sampe segitunya
21,anjir tonton mutu
22,dlu inul goyang ngebor baju ketat dcekal hrs nya ni dg sgja goyang dada mulu suara ga sbrpa mrsk moral ank muda nnton bawa nafsu aja
23,pnyanyi dangdut ga kelas bgini nih ya nonjolin suara nonjolin dada
24,najis najis udh homo aja orang kaya gin musnah muka bumi
25,haduuh orang gak akhlak bangeg asa kerja antem mulu musuh
26,s lonte bkn sensasi ngjak ribut orang mulu sampah
27,kayak banci dh pny cucu mw operasi mua top ttp aja kalo asli nya cantik
28,bagus kalo mingkem aja hahahahahaha jahat
29,oplas permak tetep jelek pokok muka tegang kek banci udah sekian
30,mending liat dek molen biarpun cowok cuantik gak kaya cewe kayak bencong wkwkwk
31,bencong rombeng jijik gay
32,orang gila ken hitz cri tenar rela penjara cari sensasi settingan beken smpe orang astagfirullah kaya sih orang kaya mulut nya ky sampah ga sekolah ya
33,cowok anjing cuih orang kaya koar gua orang ping kaya dunia orang tau kalo orang kaya orang kaya malahn perilaku orang sederhana pamer kaya dunia akhirat mampus lu harta kagak bawa mati pants buang laut lu orang aneh
34,cari sensasi tenar trus banya folowers nya gak gt gt kalee darar orang tres ngomong aja belepotan gk gt kamfungan
35,ngomong aja belepotan gaya lu bencong
36,orang banyak makan taik ya gin otak udah penuh taik jdi gak berfikir positif bicara aja gak moral dasar laknat banci anjing kbanyakan burit sih jdi stres manusia ogah jumpa anjing anjing ketemu taik
37,sikat abiss lahh sial kaya gin pimpin negara gak hormatin jgn president sembarangin marah gak hina pimpin harap tindak hukum orng
38,jijik banget lihat tingkah si upil cepat tidur
39,edan nih orang udh makan uang rakyat tidur
40,manusia laknat mati apain ya
41,sakit otak hati mah udah gak nurani urat malu pajak loh ngegaji gila hormat
42,anak babi bangsat ken sumpel timah panas congor lu biar modar
43,ken sumpel timah panas congor si anak babi pesek buruk rupa
44,hey anak bangsat babi pesek buruk rupa keriting ken penggal leher lu sampe putus lumayan makan buaya
45,ratu pelakor jagat raya lonte ya gak malu ngerasa lonte tolong malu dikit
46,mah temu buah ranum buah busuk dah tau busuk manah mah gitu aja kalo pelakor
47,ah manda mah gatel ga liyat cowo dikit lgsg sosor begok aje manda kegatelan cewe
48,si amanda muka tante umur muka boros banget dasar cabe jujur gua mah kgk suka ni haltis
49,astagah demen cewek dekil mel nagita turun att nagita kaya emas att kaya barlen
50,alah laki laki zaman aja bejat ustad kek kek gila banget perempuan istri stju banget blg ustazah msuk surga bkan krna poligami msh bnyk akhlak masuk surga yaa smoga aja sih perempuan perempuan pelakor luar sna azab gak ampun hidup gk selamat dunia akhirat
51,gila pelakor bnget gatal alas poligam woi mikir pake otak haduh pikir orang pintar tau agama buruk allah uji setia nafsu eh kaya gtu sakit istri sja tutup pintu rejekimu anak istri kau korban sbg seorg imam keluarga gagal mmpertahankan rmh tangga coreng nama nya sndiri smua orang suka benci m
52,biasa kalo pelakor lbh ancur muka istri sah barang bagus cepat laku pelakor jelek nggak laku ngembat laki orang ya udah gatel cocok wes
53,ilfil deh ni ertong caption ig story nya ngomongin orang mlu orang ambigu nilai si a si b si c udah gt kaya zholimi salahinnya lawan jgn ngmg status ah nya dewasa
54,pikir manusia bodoh eeh tante oma empo otak lu picik bngt ya jga manusi larang emang dunia orang larang ngungkapin stupid human
