,data,freq
0,?,777
1,",",376
2,.,286
3,yg,203
4,..,195
5,...,123
6,di,119
7,!,104
8,dan,98
9,<,93
10,USERNAME,93
11,>,93
12,nya,81
13,ya,78
14,ga,73
15,dia,70
16,aja,66
17,sama,64
18,gak,58
19,ini,57
20,ada,55
21,itu,55
22,yang,54
23,anak,46
24,banget,45
25,orang,42
26,org,42
27,si,41
28,....,36
29,jadi,35
30,apa,35
31,bgt,34
32,jd,34
33,artis,34
34,juga,32
35,buat,31
36,kaya,31
37,cantik,30
38,udah,29
39,lagi,28
40,bisa,28
41,klo,28
42,sm,27
43,suka,27
44,punya,26
45,baik,26
46,kalo,26
47,sih,25
48,suami,25
49,saya,25
50,selalu,25
51,ke,24
52,'',24
53,lu,24
54,tau,23
55,jg,23
56,mba,23
57,ibu,23
58,udh,22
59,kan,22
60,semoga,22
61,Allah,22
62,istri,22
63,n,22
64,pake,21
65,biar,21
66,lebih,21
67,deh,21
68,lah,20
69,keluarga,20
70,Semoga,20
71,mbak,19
72,laki,19
73,mau,19
74,nikah,19
75,bukan,19
76,sok,19
77,sangat,19
78,kita,19
79,pelakor,19
80,ama,19
81,tp,18
82,lo,17
83,lg,17
84,skrg,17
85,manusia,17
86,dari,17
87,sendiri,17
88,perempuan,17
89,kok,16
90,kali,16
91,ayu,16
92,banyak,16
93,ganteng,16
94,suaranya,16
95,bilang,15
96,tuh,15
97,anaknya,15
98,becus,15
99,d,15
100,gitu,15
101,atau,15
102,mereka,15
103,dunia,15
104,mah,15
105,tapi,14
106,malah,14
107,baru,14
108,biasa,14
109,jangan,14
110,gw,14
111,gue,14
112,dengan,13
113,semua,13
114,pasti,13
115,bikin,13
116,masih,13
117,dr,13
118,ny,13
119,ni,13
120,y,13
121,bagus,13
122,cuma,13
123,sehat,13
124,pada,12
125,otak,12
126,liat,12
127,pernah,12
128,att,12
129,bahagia,12
130,menjadi,12
131,bener,11
132,bego,11
133,jaman,11
134,aku,11
135,dasar,11
136,muda,11
137,jelek,11
138,kayak,11
139,tu,11
140,jevin,11
141,aurel,11
142,diri,10
143,kek,10
144,krn,10
145,mana,10
146,nih,10
147,siapa,10
148,akan,10
149,ma,10
150,aj,10
151,sampe,10
